ORIGEN,VARIABLE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
RECONQUISTA AERO,TEMP.MAX,32.4,30.9,29.4,25.4,22.2,19.3,19.5,22.2,23.6,26.7,28.7,31.0
RECONQUISTA AERO,TEMP.MIN,20.8,20.2,19.0,15.7,12.2,9.8,8.7,10.0,11.6,15.1,17.3,19.5
RECONQUISTA AERO,PRECIPITACIONES,141.4,156.6,168.3,155.6,58.9,49.3,31.2,26.3,53.1,114.0,159.8,136.4
PASO DE LOS LIBRES AERO,TEMP.MAX,32.6,31.0,29.6,25.6,21.9,19.2,19.1,21.6,22.6,25.9,28.5,31.2
PASO DE LOS LIBRES AERO,TEMP.MIN,20.5,20.0,18.5,15.2,11.7,9.7,9.0,10.3,11.7,14.7,16.8,19.0
PASO DE LOS LIBRES AERO,PRECIPITACIONES,128.0,154.3,166.8,205.0,129.8,101.4,73.7,56.8,108.7,152.6,149.9,120.6
SAN JUAN AERO,TEMP.MAX,34.9,33.4,30.3,25.2,20.5,16.9,16.5,19.9,23.2,28.1,31.6,34.2
SAN JUAN AERO,TEMP.MIN,19.5,18.2,16.2,10.7,5.8,1.5,0.7,2.9,6.5,11.4,14.8,18.0
SAN JUAN AERO,PRECIPITACIONES,15.7,18.9,11.2,4.4,4.4,1.6,3.5,3.2,5.6,3.6,7.0,11.6
CHAMICAL AERO,TEMP.MAX,33.2,31.6,29.2,25.2,21.4,18.3,18.6,22.0,25.0,29.3,31.7,33.5
CHAMICAL AERO,TEMP.MIN,20.3,19.3,18.1,14.1,10.0,6.6,5.3,7.7,10.6,15.1,17.7,19.7
CHAMICAL AERO,PRECIPITACIONES,105.0,95.1,68.2,26.6,9.9,2.1,4.9,1.7,9.4,30.4,42.6,83.5
VILLA DOLORES AERO,TEMP.MAX,32.3,31.0,28.8,24.9,21.1,18.3,18.2,21.3,24.0,28.1,30.4,31.9
VILLA DOLORES AERO,TEMP.MIN,18.1,17.1,16.0,12.2,8.7,5.6,4.5,6.6,8.8,12.8,15.2,17.3
VILLA DOLORES AERO,PRECIPITACIONES,121.1,102.2,94.4,42.4,17.6,4.7,13.2,6.1,22.9,35.1,75.1,113.3
CÓRDOBA AERO,TEMP.MAX,29.4,28.3,26.9,23.6,20.5,18.0,17.6,20.3,22.3,25.6,27.5,29.0
CÓRDOBA AERO,TEMP.MIN,17.5,16.6,15.5,11.7,8.3,5.1,4.0,5.9,8.2,11.9,14.4,16.8
CÓRDOBA AERO,PRECIPITACIONES,141.0,115.9,126.9,66.3,21.3,4.8,13.5,9.7,35.2,71.9,118.3,156.9
